"Group.1","imce_RentContr","imce_InclZon","imce_Partic","imce_nonProf","imce_dens","imce_mixUse","imce_ClimNeutr"
"R_0HQb3VYpH8cwvJf",0.468211964752009,0.516448385270574,-0.516966058214487,0.193299792939645,-0.658174865143979,0.205337026138433,-0.241215447075806
"R_0HUwVowklrv2JNv",0.445720223140067,0.288361282623524,-0.706347267352376,0.0736822771323337,0.444749693001871,0.549211334583998,0.539581426721343
"R_0ibKyOgmxfoXB7z",0,0,0,0,0,0,0
"R_0IcDTkgjcy0RM4x",0.0157202934286362,0.576597977755088,-0.244065300499823,-0.217740278809658,0.623580112792888,0.617179838859341,0.251275201168985
"R_0ID52tQHqlBeQGR",0.92814219623129,-0.219279957029968,0.10826227168006,0.0214830419736815,-0.27308721560205,-0.327692548917617,-0.0452262921404597
"R_0iddcY1R8aurKil",0.153988483230894,-0.310724716898653,-0.345332052140431,0.408748287819986,-0.116090089285134,-0.217015669201911,-0.375142616914577
"R_0iEmF2gv9w8JykV",0.436561338836546,0.218674973183715,0.447037694140711,0.0637784316022119,-0.191426374734295,-0.336362025816782,0.0995454610112223
"R_0iErCzGyiDMLWdX",0.165292927007791,0,-0.0750750055131959,0.103807193417102,0.154567376462287,-0.193543459450513,-0.176511547028741
"R_0If1Kcqvw8jmbWV",0.776814616052441,0.0789533894020558,-0.393887972590576,0.19592584750097,0.301294248153854,0.0547491525212578,0.233081276282865
"R_0iXXBjA2prQEvgR",0,0,0,0,0,0,0
"R_0IzPnxOrLzt0fap",0.582760569604239,0.00755037985138191,-0.0650340019156914,0.380673155008026,0.551289488343598,0.584056070601536,0.603264645019472
"R_0J7igvZvBGqT1Bf",0,-0.857371230685814,0.433762226520771,-0.0336806565517837,-0.378207352881681,0.412732458762608,0.00275026590512822
"R_0jjmKEqw5WNqjVn",0.184858074210111,0.0888475458647146,0.176664391020817,-0.460909187708922,-0.243123282230341,0.40945186613805,0.308020040423063
"R_0JkK0OoWEnOSE9j",0,0,0,0,0,0,0
"R_0jLkDdezQ9PJF2F",-0.251296986563031,-0.0391490545761985,-0.321203598792041,0.158994674032046,-0.459308190546986,0.226555810388756,0.149128833332859
"R_0JMy0Z7GW4z8g13",0,0,0,0,0,0,0
"R_0Jp8XAnRWq9Uue5",0.136459705089364,-0.192700664557801,0.167849048435607,0.17068549509111,0.16872336532224,0.109692181625418,-0.129646974789086
"R_0JrLixuTxb7cCTn",-0.571800177724815,0.323694346326366,0.772816389025645,-0.356644595965456,0,0.420707497584945,0.788077100607662
"R_0JTHrpMsA6zLFo5",0.0624049380001628,-0.190572939398787,0.490286210163656,-0.227562252876207,0.606059532127175,-0.0214570546205738,0.0106883411050761
"R_0JwmXYCTnVpuYYV",-0.0811743720025289,0.285766264353995,-0.106451554561737,0.276575992814163,-0.156682379144625,-0.103186993501059,-0.12803496425557
"R_0kAppU4yTiLRfPj",0,0,0,0,0,0,0
"R_0kPcaaL6wuYUmAx",0.201495011967933,-0.184252211022597,-0.99009900990099,0.17532069495607,0.121558131491117,0.0961517021395016,-0.263148413508975
"R_0kxQwDhnNKZQdxf",-0.193976534354081,0.990099009900989,0.204819928912106,0.525789991618807,0.199930895250751,0.657744150216075,-0.00119925464164474
"R_0kye0YZ3DPCT23D",0.573462840448756,0.0250222519292266,0,-0.0113764218266924,-0.769643957324485,0.415567533061832,-0.36726230957397
"R_0lAx4FwT5LI0e2t",-0.18582672414176,-0.573186787591977,-0.422971891157686,-0.496392156682964,-0.347795131776855,0.225754732176615,0.541590102260313
"R_0lBNq9aMiorhZsd",-0.610939147849883,-0.0717540684779687,0,-0.252621692521449,-0.573714299476377,-0.0439753044925143,0.391943725929765
"R_0lBTNjHuq10ggKJ",0.228230025530591,-0.147805817310883,0.432321937876041,0.216848833743552,0.561599677434465,0.448312552231273,0.0707169823069017
